Beer Name,Brewery,Style,ABV,Min IBU,Max IBU,Bitter,Sweet,Sour,Salty,Fruits,Spices,Malty,Review,Description
Amber,Alaskan Brewing Co.,Altbier,5.3,25,50,47,74,33,0,33,8,111,3.85,"Notes:Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.\t"
Double Bag,Long Trail Brewing Co.,Altbier,7.2,25,50,33,55,16,0,24,12,84,4.03,"Notes:This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.33 IBU\t"
Long Trail Ale,Long Trail Brewing Co.,Altbier,5,25,50,42,43,11,0,10,4,62,3.83,"Notes:Long Trail Ale is a full-bodied amber ale modeled after the “Alt-biers” of Düsseldorf, Germany. Our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. Originally introduced in November of 1989, Long Trail Ale beer quickly became, and remains, the largest selling craft-brew in Vermont. It is a multiple medal winner at the Great American Beer Festival.25 IBU\t"
Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,8.5,25,50,47,101,18,1,49,16,119,4.01,Notes:
Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company,Altbier,7.2,25,50,44,45,9,1,11,20,95,3.82,"Notes:Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU\t"
Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,6,25,50,46,62,25,1,34,4,103,4.23,Notes:
Okto Festival Ale,Widmer Brothers Brewing Company,Altbier,5.3,25,50,40,58,29,0,36,8,97,3.48,Notes:Classified as a German Altbier by the Widmer Brothers; brewed with an (ale) Alt yeast strain.availability: early Aug. - late Oct.bitterness : 28 IBUoriginal gravity: 13.5° PLATO\t
Southampton Altbier,Southampton Publick House,Altbier,5,25,50,37,73,22,0,21,4,98,3.74,Notes:
Copper,The Olde Mecklenburg Brewery,Altbier,4.8,25,50,38,39,13,1,8,16,97,4.18,"Notes:OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.\t"
Organic Münster Alt,Brauerei Pinkus Mueller,Altbier,5.1,25,50,35,50,55,5,52,8,77,3.77,Notes:
Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,4.7,25,50,55,59,25,1,32,12,121,4.1,"Notes:Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.\t"
Gerst Amber,Yazoo Brewing Company,Altbier,5.1,25,50,21,30,11,4,8,2,65,4,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs\t"
Ad Astra Ale,Free State Brewing Co.,Altbier,5.6,25,50,43,43,13,1,13,6,93,3.87,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU\t"
Copperhead Ale,Fordham Brewing Company,Altbier,5.2,25,50,29,54,13,1,11,2,112,3.48,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.\t
Ten Years Alt,Victory Brewing Company,Altbier,8.5,25,50,48,105,31,0,37,19,115,3.89,"Notes:A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US.\t"
Three Blind Mice,Mother's Brewing Company,Altbier,5.5,25,50,47,49,5,1,3,5,110,3.64,"Notes:Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU\t"
Ishmael,Rising Tide Brewing Company,Altbier,4.9,25,50,55,43,18,1,20,7,103,3.9,"Notes:Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.\t"
Headwall Alt,Tuckerman Brewing Co.,Altbier,4.5,25,50,54,62,19,0,25,10,135,3.82,"Notes:This is traditional style of altbeir from Düsseldorf, Germany. Alt literally means old in German. Staying as true to the recipe as possible, the Headwall Alt is brewed using German malts, plus German and American hops. Like the Pale Ale, the Headwall Alt is cold conditioned, dry-hopped and krausened in the bottle or keg. Similar to the Pale Ale, the process takes about 30 days.\t"
Alt-eration Ale,Hops & Grain,Altbier,5,25,50,54,54,7,0,10,9,111,4.5,Notes:
Schell's Schmaltz's Alt,August Schell Brewing Company,Altbier,5.1,25,50,48,102,25,1,50,13,176,4.08,"Notes:One of Warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, Casey. The manager of the city dump was John Schmaltz–hence the nickname ""Schmaltz"" Marti. We hope you enjoy our Schmaltz's Alt, a creamy smooth dark alt brewed even better than before.\t"
Frankenheim Alt,Privatbrauerei Frankenheim,Altbier,4.8,25,50,39,43,13,1,6,8,97,3.85,Notes:
Iron Works Alt,Metropolitan Brewing,Altbier,5.5,25,50,60,84,32,0,46,19,121,4,"Notes:An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.45 IBU\t"
Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG,Altbier,4.9,25,50,37,33,13,0,13,10,70,3.88,Notes:
Mission Amber,Mission Brewery,Altbier,5,25,50,59,55,20,2,18,7,132,3.47,Notes:
Hövels Original,Hövels Hausbrauerei,Altbier,5.5,25,50,47,54,10,1,14,2,117,3.75,Notes:
Secret Spot Alt Ale,Evolution Craft Brewing Company,Altbier,6.3,25,50,69,67,29,0,23,18,103,4.13,Notes:
Lighthouse Amber,Cheboygan Brewing Company,Altbier,5.3,25,50,35,86,21,0,28,4,138,4,"Notes:Our German style Alt has a brilliant amber hue, and silky smooth medium body. Its light tan head is thick, retaining, and laces the glass all the way down. A Noble hop aroma up front finishes with a caramel malt nose. Our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. It’s a mouthwatering, thirst quenching delight.\t"
Série Signature Sticke Alt,Les Trois Mousquetaires,Altbier,6,25,50,96,106,23,0,42,11,130,3.87,"Notes:Malts: Pilsner, Pale, Caramel 60, Caramel 160/ 74 IBU / Hops: Magnum, N Brewer, HallertauOG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging\t"
Crooked Coast Altbier,Driftwood Brewery,Altbier,5.1,25,50,76,47,39,2,40,8,76,4.08,"Notes:Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.\t"
Gravel Road,Rahr & Sons Brewing Company,Altbier,7.3,25,50,54,66,11,0,16,9,109,3.64,Notes:
